ID	CONCEPT	DOCULECT	SUBGROUP	FORM	VALUE	TOKENS	COGID	COGIDS	ALIGNMENT	MORPHEMES	BORROWING	NOTE	SOURCE
2546	mountain	Proto-Bora-Muinane	Boran	gahɨɨ	gahɨɨ	g a h ɨ.ɨ	1229	2020	g a h ɨ.ɨ			None	Seifart2024
2547	mountain	Proto-Bora-Muinane	Boran	baaɨɨ	baaɨɨ	b a.a ɨ.ɨ	1243	2034	b a.a ɨ.ɨ			None	Seifart2024
2548	mountain	Bora	Boran	kʷáhɯɯ́	kʷáhɯɯ́	kʷ a h ɯ/ɯ	1229	2020	kʷ a h ɯ/ɯ			None	Seifart2024
2549	mountain	Bora	Boran	páɯɯ́	páɯɯ́	p a ɯ.ɯ	1243	2034	p a ɯ.ɯ			None	Seifart2024
2550	mountain	Muinane	Boran	gáhɨ	gáhɨ	g a h ɨ	1229	2020	g a h ɨ			None	Seifart2024
2551	mountain	Muinane	Boran	báaɨ	báaɨ	b a.a ɨ	1243	2034	b a.a ɨ			None	Seifart2024
2552	red	Proto-Bora-Muinane	Boran	tɨ-ppai-no	tɨ-ppai-no	t ɨ + p.p a i + n o	1493	2461 2462 2463	t ɨ + p.p a i + n o			None	Seifart2024
2553	red	Bora	Boran	tʰɯ́-hpʰa-ɲe	tʰɯ́-hpʰa-ɲe	tʰ ɯ + h.pʰ a + ɲ ɛ	1493	2461 2462 2463	tʰ ɯ + h.pʰ a - + ɲ ɛ			None	Seifart2024
2554	red	Muinane	Boran	tɨ́-ɸai-ɲo	tɨ́-ɸai-ɲo	t ɨ + ɸ a i + ɲ o	1493	2461 2462 2463	t ɨ + ɸ a i + ɲ o			None	Seifart2024
2555	green	Proto-Bora-Muinane	Boran	aittɨβa	aittɨβa	ai t t ɨ β a	821	1317	ai t t ɨ β a			None	Seifart2024
2556	green	Bora	Boran	ahtʰʲɯ́βa	ahtʰʲɯ́βa	a h tʰʲ ɯ β a	821	1317	a h tʰʲ ɯ β a			None	Seifart2024
2557	green	Muinane	Boran	attʲɨ́βa-no	attʲɨ́βa-no	a t tʲ ɨ β a + n o	821	1317 1326	a t tʲ ɨ β a + n o			None	Seifart2024
2558	yellow	Proto-Bora-Muinane	Boran	gi	gi	g i	3274	5493	g i ( - - - - - - - )			None	Seifart2024
2559	yellow	Bora	Boran	ʧíhkʰʲáneɯ́βɯ́	ʧíhkʰʲáneɯ́βɯ́	tʃ i h.kʰʲ a n ɛ ɯ β ɯ	3264	5493	tʃ i ( h.kʰʲ a n ɛ ɯ β ɯ )			None	Seifart2024
2560	yellow	Muinane	Boran	gíígiβano	gíígiβano	g i.i g i β a n o	3271	5493	g i.i ( g i β a n o - )			None	Seifart2024
2561	new	Proto-Bora-Muinane	Boran	boʔ-no	boʔ-no	b o ʔ + n o	1347	2194 2195	b o ʔ + n o			None	Seifart2024
2562	new	Bora	Boran	péʔ-ne	péʔ-ne	p ɛ ʔ + n ɛ	1347	2194 2195	p ɛ ʔ + n ɛ			None	Seifart2024
2563	new	Muinane	Boran	bóʔo-no	bóʔo-no	b o ʔ o + n o	1347	2194 2195	b o ʔ o + n o			None	Seifart2024
2564	name	Proto-Bora-Muinane	Boran	momo	momo	m o m o	1274	2089	m o m o			None	Seifart2024
2565	name	Bora	Boran	meme	meme	m ɛ m ɛ	1274	2089	m ɛ m ɛ			None	Seifart2024
2566	name	Muinane	Boran	mómo	mómo	m o m o	1274	2089	m o m o			None	Seifart2024
2567	how	Proto-Bora-Muinane	Boran	mɨʔɨ	mɨʔɨ	m ɨ.ʔ ɨ	974	1598	m ɨ.ʔ - ɨ			None	Seifart2024
2568	how	Bora	Boran	mɯʔtɯ	mɯʔtɯ	m ɯ.ʔ t ɯ	974	1598	m ɯ.ʔ t ɯ			None	Seifart2024
2569	how	Muinane	Boran	mɨ́ʤɨ	mɨ́ʤɨ	m ɨ dʒ ɨ	974	1598	m ɨ dʒ ɨ			None	Seifart2024
2570	here	Proto-Bora-Muinane	Boran	hi-noo-ri	hi-noo-ri	h i + n o.o + r i	958	2389 1564 1565	h i + n o.o + r i			None	Seifart2024
2571	here	Bora	Boran	í-ɲeé-ri	í-ɲeé-ri	i + ɲ ɛ.ɛ + ɾ i	958	2389 1564 1565	- i + ɲ ɛ.ɛ + ɾ i			None	Seifart2024
2572	here	Muinane	Boran	hi-néé-ri	hi-néé-ri	h i + n e.e + r i	958	2389 1564 1565	h i + n e.e + r i			None	Seifart2024
2573	there	Proto-Bora-Muinane	Boran	oo-no	oo-no	oː + n o	2064	3396 3397	oː + n o			None	Seifart2024
2574	there	Bora	Boran	éé-ne	éé-ne	ɛː + n ɛ	2064	3396 3397	ɛː + n ɛ			None	Seifart2024
2575	there	Muinane	Boran	óó-no	óó-no	oː + n o	2064	3396 3397	oː + n o			None	Seifart2024
2576	other	Proto-Bora-Muinane	Boran	ʦi-ppi	ʦi-ppi	ts i + p.p i	1462	2408 2409	ts i + p.p i			None	Seifart2024
2577	other	Bora	Boran	ʦʰi-hpʰi	ʦʰi-hpʰi	tsʰ i + h.pʰ i	1462	2408 2409	tsʰ i + h.pʰ i			None	Seifart2024
2578	other	Muinane	Boran	sí-ɸi	sí-ɸi	s i + ɸ i	1462	2408 2409	s i + ɸ i			None	Seifart2024
2579	fog	Proto-Bora-Muinane	Boran	tʦu-	tʦu-	t.ts u	722	1158	( - ) t.ts u ( - )			None	Seifart2024
2580	fog	Bora	Boran	ohʦʰó	ohʦʰó	o h.tsʰ o	722	1158	( o ) h.tsʰ o ( - )			None	Seifart2024
2581	fog	Muinane	Boran	súɨ	súɨ	s u ɨ	722	1158	( - ) s u ( ɨ )			None	Seifart2024
2582	to flow	Proto-Bora-Muinane	Boran	niiβa	niiβa	n i.i β a	2395	3984	n i.i β a			None	Seifart2024
2583	to flow	Bora	Boran	niiβa	niiβa	n i.i β a	2395	3984	n i.i β a			None	Seifart2024
2584	to flow	Muinane	Boran	niiβa-ʔi	niiβa-ʔi	n i.i β a + ʔ i	2395	3984 3986	n i.i β a + ʔ i			None	Seifart2024
2585	sea (ocean)	Proto-Bora-Muinane	Boran	muuai	muuai	m u.u a.i	1687	2789	m u.u a.i			None	Seifart2024
2586	sea (ocean)	Bora	Boran	moóa	moóa	m o.o a	1687	2789	m o.o a			None	Seifart2024
2587	sea (ocean)	Muinane	Boran	múúai	múúai	m u.u a.i	1687	2789	m u.u a.i			None	Seifart2024
2588	wet	Proto-Bora-Muinane	Boran	peepai-no	peepai-no	p e.e p a.i + n o	3006	5056 5053	p e.e p a.i + n o			None	Seifart2024
2589	wet	Proto-Bora-Muinane	Boran	maa-	maa-	m a a	3003	5051	m a - a			None	Seifart2024
2590	wet	Bora	Boran	mahááβe	mahááβe	m a h a + a β ɛ	3001	5051 1909	m a h a + a β ɛ			/:ve/ 'become'	Seifart2024
2591	wet	Bora	Boran	pʰɨ́ɨ́pʰá-ɲe	pʰɨ́ɨ́pʰá-ɲe	pʰ ɨ.ɨ pʰ a + ɲ ɛ	3006	5056 5053	pʰ ɨ.ɨ pʰ a + ɲ ɛ			None	Seifart2024
2592	wet	Muinane	Boran	mááɲo	mááɲo	m a a + ɲ o	3003	5051 5053	m a - a + ɲ o			None	Seifart2024
2593	wet	Muinane	Boran	ɸééɸa-ɲo	ɸééɸa-ɲo	ɸ e.e ɸ a + ɲ o	3006	5056 5053	ɸ e.e ɸ a + ɲ o			None	Seifart2024
2594	to wash	Proto-Bora-Muinane	Boran	nittɨ-	nittɨ-	n i t.t ɨ	2858	4780	n i t.t ɨ			None	Seifart2024
2595	to wash	Bora	Boran	nihtʰʲɯ	nihtʰʲɯ	n i h.tʰʲ ɯ	2858	4780	n i h.tʰʲ ɯ			None	Seifart2024
2596	to wash	Muinane	Boran	níttɨ-ʔi	níttɨ-ʔi	n i t.t ɨ + ʔ i	2858	4780 4782	n i t.t ɨ + ʔ i			None	Seifart2024
2597	worm	Proto-Bora-Muinane	Boran	hɨʔba	hɨʔba	h ɨ ʔ b a	3218	5410	h ɨ ʔ - b a			None	Seifart2024
2598	worm	Bora	Boran	ɯɯ́pa	ɯɯ́pa	ɯ ɯ p a	3218	5410	- ɯ - ɯ p a			None	Seifart2024
2599	worm	Muinane	Boran	hɨ́ʔɨba	hɨ́ʔɨba	h ɨ ʔ ɨ b a	3218	5410	h ɨ ʔ ɨ b a			None	Seifart2024
2600	with (accompanying)	Proto-Bora-Muinane	Boran	-ma	-ma	m a	3171	5331	m a			None	Seifart2024
2601	with (accompanying)	Bora	Boran	-ma	-ma	m a	3171	5331	m a			None	Seifart2024
2602	with (accompanying)	Muinane	Boran	-ma	-ma	m a	3171	5331	m a			None	Seifart2024
2603	in	Proto-Bora-Muinane	Boran	paino	paino	p a.i n o	1028	1684	p a.i n o			None	Seifart2024
2604	in	Bora	Boran	pʰaɲe	pʰaɲe	pʰ a ɲ ɛ	1028	1684	pʰ a ɲ ɛ			None	Seifart2024
2605	in	Muinane	Boran	ɸaɲo	ɸaɲo	ɸ a ɲ o	1028	1684	ɸ a ɲ o			None	Seifart2024
2606	at	Proto-Bora-Muinane	Boran	-βɨ	-βɨ	β ɨ	72	131	β ɨ			None	Seifart2024
2607	at	Bora	Boran	-βɯ	-βɯ	β ɯ	72	131	β ɯ			None	Seifart2024
2608	at	Muinane	Boran	-βɨ	-βɨ	β ɨ	72	131	β ɨ			None	Seifart2024
2609	if	Proto-Bora-Muinane	Boran	-ʔaʧʧiihɨ	-ʔaʧʧiihɨ	ʔ a tʃ tʃ i.i h ɨ	1019	1663	ʔ a tʃ tʃ i.i h ɨ			None	Seifart2024
2610	if	Bora	Boran	ʔahʧʰííhʲɯ	ʔahʧʰííhʲɯ	ʔ a h tʃʰ i.i hʲ ɯ	1019	1663	ʔ a h tʃʰ i.i hʲ ɯ			None	Seifart2024
2611	if	Muinane	Boran	aʧʧihɨ	aʧʧihɨ	a tʃ tʃ i h ɨ	1019	1663	- a tʃ tʃ i h ɨ			None	Seifart2024
2612	wide	Proto-Bora-Muinane	Boran	kare-	kare-	k a r e	3109	5231	k a r e			None	Seifart2024
2613	wide	Bora	Boran	kʰorɨ́ɨ́-né	kʰorɨ́ɨ́-né	kʰ o ɾ ɨ.ɨ + n ɛ	3105	5231 5232	kʰ o ɾ ɨ.ɨ + n ɛ			None	Seifart2024
2614	wide	Muinane	Boran	kárékuno	kárékuno	k a r e + k u + n o	3109	5231 1955 5232	k a r e + k u + n o			None	Seifart2024
2615	narrow	Proto-Bora-Muinane	Boran	iihe	iihe	i.i h e	1292	2116	i.i h e			None	Seifart2024
2616	narrow	Bora	Boran	ɨɨhɨ́	ɨɨhɨ́	ɨ.ɨ h ɨ	1292	2116	ɨ.ɨ h ɨ			None	Seifart2024
2617	narrow	Muinane	Boran	ííhe-ne	ííhe-ne	i.i h e + n e	1292	2116 2119	i.i h e + n e			None	Seifart2024
2618	thick	Proto-Bora-Muinane	Boran	peeme	peeme	p e e m e	2097	3469	p e e m e			None	Seifart2024
2619	thick	Bora	Boran	pʰɨɨ́mɨ	pʰɨɨ́mɨ	pʰ ɨ ɨ m ɨ	2097	3469	pʰ ɨ ɨ m ɨ			None	Seifart2024
2620	thick	Muinane	Boran	ɸééme-ne	ɸééme-ne	ɸ e e m e + n e	2097	3469 3473	ɸ e e m e + n e			None	Seifart2024
2621	thin	Proto-Bora-Muinane	Boran	ɨtʦi-	ɨtʦi-	ɨ t ts i	2116	3499	ɨ t.ts i			None	Seifart2024
2622	thin	Proto-Bora-Muinane	Boran	aini-	aini-	a.i n i	2113	3496	a.i n i			None	Seifart2024
2623	thin	Bora	Boran	ani	ani	a n i	2113	3496	a n i			None	Seifart2024
2624	thin	Bora	Boran	ɯhʦʰi	ɯhʦʰi	ɯ h tsʰ i	2116	3499	ɯ h.tsʰ i			None	Seifart2024
2625	thin	Muinane	Boran	ɨ́sino	ɨ́sino	ɨ s i + n o	2116	3499 493	ɨ s i + n o			None	Seifart2024
2626	thin	Muinane	Boran	áɲino	áɲino	a ɲ i + n o	2113	3496 493	a ɲ i + n o			None	Seifart2024
2627	short	Proto-Bora-Muinane	Boran	baaʔr-no	baaʔr-no	b aː ʔ r + n o	1767	2906 2915	b aː.ʔ r - + n o			None	Seifart2024
2628	short	Bora	Boran	páʔríɲeɯ́βɯ́	páʔríɲeɯ́βɯ́	p a ʔ ɾ i + ɲ ɛ + ɯ β ɯ	1758	2906 2915 287	p a.ʔ ɾ i + ɲ ɛ + ɯ β ɯ			None	Seifart2024
2629	short	Muinane	Boran	báárene	báárene	b aː r e + n e	1758	2906 2915	b aː r e + n e			None	Seifart2024
2630	dull (knife)	Proto-Bora-Muinane	Boran	ʦɨɨʔhe-βa-tɨ-no	ʦɨɨʔhe-βa-tɨ-no	ts ɨ.ɨ.ʔ h e + β a + t ɨ + n o	424	676 677 678 679	ts ɨ.ɨ.ʔ h e + β a + t ɨ + n o			None	Seifart2024
2631	dull (knife)	Bora	Boran	ʦʰɯ́ʔhɨ́-βa-tʰɯ́-ne	ʦʰɯ́ʔhɨ́-βa-tʰɯ́-ne	tsʰ ɯ.ʔ h ɨ + β a + tʰ ɯ + n ɛ	424	676 677 678 679	tsʰ ɯ.ʔ h ɨ + β a + tʰ ɯ + n ɛ			None	Seifart2024
2632	dull (knife)	Muinane	Boran	sɨ́ɨ́he-βa-tɨ-no	sɨ́ɨ́he-βa-tɨ-no	s ɨ.ɨ h e + β a + t ɨ + n o	424	676 677 678 679	s ɨ.ɨ h e + β a + t ɨ + n o			None	Seifart2024
2633	sharp (as knife)	Proto-Bora-Muinane	Boran	ʦɨɨhe-βa	ʦɨɨhe-βa	ts ɨː h e + β a	1745	2884 2885	ts ɨː h e + β a			None	Seifart2024
2634	sharp (as knife)	Bora	Boran	ʦʰɯ́ʔhɨ-βá-ne	ʦʰɯ́ʔhɨ-βá-ne	tsʰ ɯ ʔ.h ɨ + β a + n ɛ	1745	2884 2885 2886	tsʰ ɯ ʔ.h ɨ + β a + n ɛ			None	Seifart2024
2635	sharp (as knife)	Muinane	Boran	sɨ́ɨ́héβano	sɨ́ɨ́héβano	s ɨː h e + β a + n o	1747	2884 2885 2886	s ɨː h e + β a + n o			None	Seifart2024
2636	dirty	Proto-Bora-Muinane	Boran	hiinɨ-βa-	hiinɨ-βa-	h i.i n ɨ + β a	361	586 587	h i.i n ɨ + β a			None	Seifart2024
2637	dirty	Proto-Bora-Muinane	Boran	beeβa-	beeβa-	b e.e + β a	378	1435 587	b e.e + β a			None	Seifart2024
2638	dirty	Bora	Boran	iiɲɯ́-βá-ne	iiɲɯ́-βá-ne	i.i ɲ ɯ + β a + n ɛ	361	586 587 588	- i.i ɲ ɯ + β a + n ɛ			None	Seifart2024
2639	dirty	Muinane	Boran	híínɨβano	híínɨβano	h i.i n ɨ + β a + n o	365	586 587 588	h i.i n ɨ + β a + n o			None	Seifart2024
2640	dirty	Muinane	Boran	bééβano	bééβano	b e.e + β a + n o	378	1435 587 588	b e.e + β a + n o			None	Seifart2024
2641	rotten (especially log)	Proto-Bora-Muinane	Boran	tuukɨ-	tuukɨ-	t u.u k ɨ	1620	2671	t u.u k ɨ			None	Seifart2024
2642	rotten (especially log)	Bora	Boran	tʰóókʰɯ-ne	tʰóókʰɯ-ne	tʰ o.o kʰ ɯ + n ɛ	1620	2671 2672	tʰ o.o kʰ ɯ + n ɛ			None	Seifart2024
2643	rotten (especially log)	Muinane	Boran	túúkɨ-no	túúkɨ-no	t u.u k ɨ + n o	1620	2671 2672	t u.u k ɨ + n o			None	Seifart2024
2644	smooth	Proto-Bora-Muinane	Boran	prɨɨkɨ-	prɨɨkɨ-	p r ɨ ɨ k ɨ	1882	3098	p - r ɨ ɨ k ɨ			None	Seifart2024
2645	smooth	Proto-Bora-Muinane	Boran	mooβa-	mooβa-	m o o β a	1897	3115	m o o β a			None	Seifart2024
2646	smooth	Bora	Boran	pʰɨ́rɯɯkʰɯ́-ne	pʰɨ́rɯɯkʰɯ́-ne	pʰ ɨ ɾ ɯ ɯ kʰ ɯ + n ɛ	1882	3098 3099	pʰ ɨ ɾ ɯ ɯ kʰ ɯ + n ɛ			None	Seifart2024
2647	smooth	Bora	Boran	mééβa-ne	mééβa-ne	m ɛ ɛ β a + n ɛ	1897	3115 3099	m ɛ ɛ β a + n ɛ			None	Seifart2024
2648	smooth	Muinane	Boran	párʲɨ́ɨ́kɨno	párʲɨ́ɨ́kɨno	p a rʲ ɨ ɨ k ɨ + n o	1882	3098 3099	p a rʲ ɨ ɨ k ɨ + n o			None	Seifart2024
2649	smooth	Muinane	Boran	móóβano	móóβano	m o o β a + n o	1897	3115 3099	m o o β a + n o			None	Seifart2024
2650	straight	Proto-Bora-Muinane	Boran	ʦa-tɨkko-βo	ʦa-tɨkko-βo	ts a + t ɨ k k o + β o	1992	3272 3273 3274	ts a + t ɨ k.k o + β o			None	Seifart2024
2651	straight	Bora	Boran	ʦʰa-tʰɯ́hkʰe-βe	ʦʰa-tʰɯ́hkʰe-βe	tsʰ a + tʰ ɯ h kʰ ɛ + β ɛ	1992	3272 3273 3274	tsʰ a + tʰ ɯ h.kʰ ɛ + β ɛ			None	Seifart2024
2652	straight	Muinane	Boran	sá-tɨ́kko-βo	sá-tɨ́kko-βo	s a + t ɨ k k o + β o	1992	3272 3273 3274	s a + t ɨ k.k o + β o			None	Seifart2024
2653	right (correct)	Proto-Bora-Muinane	Boran	maa-	maa-	m a.a	1519	2505	- m a.a -			None	Seifart2024
2654	right (correct)	Bora	Boran	ɨ́mɨáá-ne	ɨ́mɨáá-ne	ɨ m ɨ a.a + n ɛ	1518	2505 2506	ɨ m ɨ a.a + n ɛ			None	Seifart2024
2655	right (correct)	Muinane	Boran	míjáá-no	míjáá-no	m i.j a.a + n o	1518	2505 2506	- m i.j a.a + n o			None	Seifart2024
2656	left (hand)	Proto-Bora-Muinane	Boran	nani-	nani-	n a n i	1078	1775	n a n i ( - - - - )			None	Seifart2024
2657	left (hand)	Bora	Boran	náni-ɲéhkʰɯ	náni-ɲéhkʰɯ	n a n i + ɲ ɛ h kʰ ɯ	1078	1775 1776	n a n i ( - - - - ) + ɲ ɛ h kʰ ɯ			None	Seifart2024
2658	left (hand)	Muinane	Boran	nániʔɨgo	nániʔɨgo	n a n i ʔ ɨ g o	1078	1775	n a n i ( ʔ ɨ g o )			None	Seifart2024
2659	right (hand)	Proto-Bora-Muinane	Boran	ma-	ma-	m a	1537	2528	- m - a			None	Seifart2024
2660	right (hand)	Bora	Boran	ɨ́mɨá-néhkʰɯ	ɨ́mɨá-néhkʰɯ	ɨ m ɨ a + n ɛ h kʰ ɯ	1532	2528 2529	ɨ m ɨ a + n ɛ h kʰ ɯ			None	Seifart2024
2661	right (hand)	Muinane	Boran	ímíja-nagono	ímíja-nagono	i m i.j a + n a g o n o	1532	2528 2533	i m i.j a + n a g o n o			None	Seifart2024
2662	old	Proto-Bora-Muinane	Boran	ʦɨk-	ʦɨk-	ts ɨ k	1428	2346	ts ɨ k - ( - - - - - - )			None	Seifart2024
2663	old	Proto-Bora-Muinane	Boran	koomo-	koomo-	k o.o m o	1437	2355	k o.o m o ( - - )			None	Seifart2024
2664	old	Bora	Boran	ʦʰɯ́ɯ́kʰáa-ne	ʦʰɯ́ɯ́kʰáa-ne	tsʰ ɯ.ɯ kʰ a.a + n ɛ	1420	2346 2337	tsʰ ɯ.ɯ kʰ a.a ( - - - - - - ) + n ɛ			None	Seifart2024
2665	old	Bora	Boran	kʰeéme	kʰeéme	kʰ ɛ.ɛ m ɛ	1437	2355	kʰ ɛ.ɛ m ɛ ( - - )			None	Seifart2024
2666	old	Muinane	Boran	sɨ́kɨ́heʔɨno	sɨ́kɨ́heʔɨno	s ɨ k ɨ h e ʔ ɨ n o	1426	2346	s ɨ k ɨ ( h e ʔ ɨ n o )			/heʔɨ/ looks like unanalyzable Muinane segment	Seifart2024
2667	old	Muinane	Boran	kóomobo	kóomobo	k o.o m o b o	1437	2355	k o.o m o ( b o )			None	Seifart2024
2668	to pull	Proto-Bora-Muinane	Boran	giiɨkɨ	giiɨkɨ	g i.i ɨ k ɨ	2580	4299	g i.i ɨ k ɨ			None	Seifart2024
2669	to pull	Bora	Boran	ʧiɯ́kʰɯ	ʧiɯ́kʰɯ	tʃ i ɯ kʰ ɯ	2580	4299	tʃ i ɯ kʰ ɯ			None	Seifart2024
2670	to pull	Muinane	Boran	gííjɨkɨ-ʔi	gííjɨkɨ-ʔi	g i.i.j ɨ k ɨ + ʔ i	2580	4299 4301	g i.i.j ɨ k ɨ + ʔ i			None	Seifart2024
2671	to throw	Proto-Bora-Muinane	Boran	piku	piku	p i k u	2795	4657	p i k u			None	Seifart2024
2672	to throw	Bora	Boran	pʰikʰʲo	pʰikʰʲo	pʰ i kʰʲ o	2795	4657	pʰ i kʰʲ o			None	Seifart2024
2673	to throw	Muinane	Boran	ɸíkú-ʔi	ɸíkú-ʔi	ɸ i k u + ʔ i	2795	4657 4659	ɸ i k u + ʔ i			None	Seifart2024
2674	to hit	Proto-Bora-Muinane	Boran	iʤaaju	iʤaaju	i dʒ a.a j u	2468	4100	i dʒ a.a j u			None	Seifart2024
2675	to hit	Bora	Boran	íʧaájo	íʧaájo	i tʃ a.a j o	2468	4100	i tʃ a.a j o			None	Seifart2024
2676	to hit	Muinane	Boran	íʤáju-ʔi	íʤáju-ʔi	i dʒ a j u + ʔ i	2468	4100 4103	i dʒ a j u + ʔ i			None	Seifart2024
2677	to split	Proto-Bora-Muinane	Boran	gaer-	gaer-	g a e r	2692	4471	g a - e r - - - -			None	Seifart2024
2678	to split	Bora	Boran	kʷáʧʰéreákʰo	kʷáʧʰéreákʰo	kʷ a tʃʰ ɛ ɾ ɛ a kʰ o	2689	4471	kʷ a tʃʰ ɛ ɾ ɛ a kʰ o			/tʃʰɛɾɛ/ is the verbal root (Thiesen & Weber 2012).	Seifart2024
2679	to split	Muinane	Boran	gáʤéréku-ʔi	gáʤéréku-ʔi	g a dʒ e r e k u + ʔ i	2689	4471 4473	g a dʒ e r e - k u + ʔ i			None	Seifart2024
2680	to dig	Proto-Bora-Muinane	Boran	ʦooʔdi	ʦooʔdi	ts o.o.ʔ d i	2297	3813	ts o.o.ʔ d i			None	Seifart2024
2681	to dig	Bora	Boran	ʦʰeʔti	ʦʰeʔti	tsʰ ɛ.ʔ t i	2297	3813	tsʰ ɛ.ʔ t i			None	Seifart2024
2682	to dig	Muinane	Boran	séédi-ʔi	séédi-ʔi	s e.e d i + ʔ i	2297	3813 3815	s e.e d i + ʔ i			None	Seifart2024
2683	to tie	Proto-Bora-Muinane	Boran	ʦitʦɨ	ʦiʦʦɨ	ts i t.ts ɨ	2810	4685	ts i t.ts ɨ			None	Seifart2024
2684	to tie	Proto-Bora-Muinane	Boran	duʔhe-nɨ	duʔhe-nɨ	d u.ʔ h e + n ɨ	2825	4702 4703	d u.ʔ h e + n ɨ			None	Seifart2024
2685	to tie	Bora	Boran	ʧʰíhʧʰɯ	ʧʰíhʧʰɯ	tʃʰ i h.tʃʰ ɯ	2810	4685	tʃʰ i h.tʃʰ ɯ			None	Seifart2024
2686	to tie	Bora	Boran	toʔhɨ́-nɯ	toʔhɨ́-nɯ	t o.ʔ h ɨ + n ɯ	2825	4702 4703	t o.ʔ h ɨ + n ɯ			None	Seifart2024
2687	to tie	Muinane	Boran	sísɨ-ʔi	sísɨ-ʔi	s i s ɨ + ʔ i	2810	4685 4689	s i s ɨ + ʔ i			None	Seifart2024
2688	to tie	Muinane	Boran	dúúhé-nɨ-ʔi	dúúhé-nɨ-ʔi	d uː h e + n ɨ + ʔ i	2825	4702 4703 4689	d uː h e + n ɨ + ʔ i			None	Seifart2024
2689	to fall (drop rather than topple)	Proto-Bora-Muinane	Boran	aako-	aako-	a.a k o	2356	3912	a.a k o - -			None	Seifart2024
2690	to fall (drop rather than topple)	Bora	Boran	aakʰítʰʲe	aakʰítʰʲe	a.a kʰ i tʰʲ ɛ	2356	3912	a.a kʰ i tʰʲ ɛ			None	Seifart2024
2691	to fall (drop rather than topple)	Muinane	Boran	áákétte-ʔi	áákétte-ʔi	a.a k e t.t e + ʔ i	2356	3912 3916	a.a k e t.t e + ʔ i			None	Seifart2024
2692	to swell	Proto-Bora-Muinane	Boran	huuri-	huuri-	h uː r i	2746	4571	h uː r i			None	Seifart2024
2693	to swell	Bora	Boran	oóri	oóri	oː ɾ i	2746	4571	- oː ɾ i			None	Seifart2024
2694	to swell	Muinane	Boran	húúri-ʔi	húúri-ʔi	h uː r i + ʔ i	2746	4571 4573	h uː r i + ʔ i			None	Seifart2024
2695	to think	Proto-Bora-Muinane	Boran	etʦami-	etʦami-	e t.ts a m i	2777	4621	e t.ts a m - i			None	Seifart2024
2696	to think	Bora	Boran	ɨ́hʦʰaméi	ɨ́hʦʰaméi	ɨ h.tsʰ a m ɛ i	2777	4621	ɨ h.tsʰ a m ɛ i			None	Seifart2024
2697	to think	Muinane	Boran	ésámáái-ʔi	ésámáái-ʔi	e s a m aː i + ʔ i	2777	4621 4625	e s a m aː i + ʔ i			None	Seifart2024
2698	to sing	Proto-Bora-Muinane	Boran	matʦi-βa	matʦi-βa	m a t.ts i + β a	2650	4402 4407	m a t.ts i + β a			None	Seifart2024
2699	to sing	Bora	Boran	mahʦʰíβa	mahʦʰíβa	m a h.tsʰ i + β a	2647	4402 4407	m a h.tsʰ i + β a			None	Seifart2024
2700	to sing	Muinane	Boran	másí-βa-ʔi	másí-βa-ʔi	m a s i + β a + ʔ i	2650	4402 4407 4408	m a s i + β a + ʔ i			None	Seifart2024
2701	to fear	Proto-Bora-Muinane	Boran	igi	igi	i g i	2373	3944	i g i			None	Seifart2024
2702	to fear	Bora	Boran	iʧi	iʧi	i tʃ i	2373	3944	i tʃ i			None	Seifart2024
2703	to fear	Muinane	Boran	ígi-ʔi	ígi-ʔi	i g i + ʔ i	2373	3944 3946	i g i + ʔ i			None	Seifart2024
2704	to squeeze	Proto-Bora-Muinane	Boran	aamɨ-ʦu	aamɨ-ʦu	aː m ɨ + ts u	2700	4489 4490	aː m ɨ + ts u			None	Seifart2024
2705	to squeeze	Bora	Boran	aamɯ́-ʦʰó	aamɯ́-ʦʰó	aː m ɯ + tsʰ o	2700	4489 4490	aː m ɯ + tsʰ o			None	Seifart2024
2706	to squeeze	Muinane	Boran	áámɨ́-su-ʔi	áámɨ́-su-ʔi	aː m ɨ + s u + ʔ i	2700	4489 4490 4492	aː m ɨ + s u + ʔ i			None	Seifart2024
2707	to hold (in hand)	Proto-Bora-Muinane	Boran	ikka	ikka	i k.k a	2480	4127	i k.k a			None	Seifart2024
2708	to hold (in hand)	Bora	Boran	ihkʰʲa	ihkʰʲa	i h.kʰʲ a	2480	4127	i h.kʰʲ a			None	Seifart2024
2709	to hold (in hand)	Muinane	Boran	ikka-ʔi	ikka-ʔi	i k.k a + ʔ i	2480	4127 4129	i k.k a + ʔ i			None	Seifart2024
2710	dust	Proto-Bora-Muinane	Boran	-giihɨ	-giihɨ	g i.i h ɨ	436	704	g i.i h ɨ			None	Seifart2024
2711	dust	Bora	Boran	ʧíhʲɯɯ́	ʧíhʲɯɯ́	tʃ i hʲ ɯ.ɯ	436	704	tʃ i hʲ ɯ.ɯ			None	Seifart2024
2712	dust	Muinane	Boran	gíihɨ	gíihɨ	g i/i h ɨ	436	704	g i/i h ɨ			None	Seifart2024
2713	to live	Proto-Bora-Muinane	Boran	buʔee-	buʔee-	b u ʔ e.e	2553	4255	b u ʔ e.e			None	Seifart2024
2714	to live	Bora	Boran	póʔɨ́ɨ́-pe	póʔɨ́ɨ́-pe	p o ʔ ɨ.ɨ + p ɛ	2553	4255 4256	p o ʔ ɨ.ɨ + p ɛ			None	Seifart2024
